Time,Fz,Mx,My,CoPx,CoPy
0.000000,584.620438,34.539478,-12.696931,0.021718,0.059080
0.001000,584.712658,34.520108,-12.675351,0.021678,0.059038
0.002000,584.527568,34.559068,-12.675171,0.021684,0.059123
0.003000,584.622788,34.578958,-12.697531,0.021719,0.059147
0.004000,584.434698,34.578658,-12.653411,0.021651,0.059166
0.005000,584.439128,34.618398,-12.652341,0.021649,0.059234
0.006000,584.434698,34.578658,-12.653411,0.021651,0.059166
0.007000,584.527568,34.559068,-12.675171,0.021684,0.059123
0.008000,584.624218,34.579438,-12.652521,0.021642,0.059148
0.009000,584.624218,34.579438,-12.652521,0.021642,0.059148
0.010000,584.533698,34.638508,-12.631361,0.021609,0.059258
0.011000,584.437048,34.618138,-12.654011,0.021652,0.059233
0.012000,584.626568,34.618918,-12.653121,0.021643,0.059215
0.013000,584.441478,34.657878,-12.652941,0.021650,0.059301
0.014000,584.344828,34.637508,-12.675591,0.021692,0.059276
0.015000,584.630348,34.658878,-12.608711,0.021567,0.059283
0.016000,584.725568,34.678768,-12.631071,0.021602,0.059308
0.017000,584.633348,34.698138,-12.652651,0.021642,0.059350
0.018000,584.820788,34.698657,-12.653431,0.021636,0.059332
0.019000,584.727918,34.718247,-12.631671,0.021603,0.059375
0.020000,584.539048,34.717248,-12.675901,0.021685,0.059393
0.021000,584.351608,34.716728,-12.675121,0.021691,0.059411
0.022000,584.540478,34.717728,-12.630891,0.021608,0.059393
0.023000,584.635698,34.737618,-12.653251,0.021643,0.059418
0.024000,584.635698,34.737618,-12.653251,0.021643,0.059418
0.025000,584.542828,34.757208,-12.631491,0.021609,0.059460
0.026000,584.638048,34.777097,-12.653851,0.021644,0.059485
0.027000,584.638048,34.777097,-12.653851,0.021644,0.059485
0.028000,584.638048,34.777097,-12.653851,0.021644,0.059485
0.029000,584.545828,34.796468,-12.675431,0.021684,0.059527
0.030000,584.642478,34.816837,-12.652781,0.021642,0.059552
0.031000,584.450608,34.776578,-12.653071,0.021650,0.059503
0.032000,584.452958,34.816057,-12.653671,0.021650,0.059570
0.033000,584.549608,34.836427,-12.631021,0.021608,0.059595
0.034000,584.549608,34.836427,-12.631021,0.021608,0.059595
0.035000,584.549608,34.836427,-12.631021,0.021608,0.059595
0.036000,584.642478,34.816837,-12.652781,0.021642,0.059552
0.037000,584.549608,34.836427,-12.631021,0.021608,0.059595
0.038000,584.549608,34.836427,-12.631021,0.021608,0.059595
0.039000,584.739128,34.837207,-12.630131,0.021600,0.059577
0.040000,584.549608,34.836427,-12.631021,0.021608,0.059595
0.041000,584.549608,34.836427,-12.631021,0.021608,0.059595
0.042000,584.649258,34.896057,-12.652311,0.021641,0.059687
0.043000,584.649258,34.896057,-12.652311,0.021641,0.059687
0.044000,584.741478,34.876687,-12.630731,0.021601,0.059645
0.045000,584.644828,34.856317,-12.653381,0.021643,0.059620
0.046000,584.452958,34.816057,-12.653671,0.021650,0.059570
0.047000,584.364518,34.875387,-12.630841,0.021615,0.059681
0.048000,584.459738,34.895277,-12.653201,0.021649,0.059705
0.049000,584.459738,34.895277,-12.653201,0.021649,0.059705
0.050000,584.554038,34.876167,-12.629951,0.021606,0.059663
0.051000,584.644828,34.856317,-12.653381,0.021643,0.059620
0.052000,584.648608,34.896277,-12.608971,0.021567,0.059688
0.053000,584.364518,34.875387,-12.630841,0.021615,0.059681
0.054000,584.556388,34.915647,-12.630551,0.021607,0.059730
0.055000,584.556388,34.915647,-12.630551,0.021607,0.059730
0.056000,584.459738,34.895277,-12.653201,0.021649,0.059705
0.057000,584.556388,34.915647,-12.630551,0.021607,0.059730
0.058000,584.556388,34.915647,-12.630551,0.021607,0.059730
0.059000,584.556388,34.915647,-12.630551,0.021607,0.059730
0.060000,584.556388,34.915647,-12.630551,0.021607,0.059730
0.061000,584.459738,34.895277,-12.653201,0.021649,0.059705
0.062000,584.556388,34.915647,-12.630551,0.021607,0.059730
0.063000,584.274648,34.934237,-12.653021,0.021656,0.059791
0.064000,584.367518,34.914647,-12.674781,0.021690,0.059748
0.065000,584.367518,34.914647,-12.674781,0.021690,0.059748
0.066000,584.459738,34.895277,-12.653201,0.021649,0.059705
0.067000,584.556388,34.915647,-12.630551,0.021607,0.059730
0.068000,584.464168,34.935017,-12.652131,0.021647,0.059773
0.069000,584.463518,34.935237,-12.608791,0.021573,0.059773
0.070000,584.371298,34.954607,-12.630371,0.021614,0.059816
0.071000,584.371298,34.954607,-12.630371,0.021614,0.059816
0.072000,584.182428,34.953607,-12.674601,0.021696,0.059833
0.073000,584.371298,34.954607,-12.630371,0.021614,0.059816
0.074000,584.466518,34.974497,-12.652731,0.021648,0.059840
0.075000,584.371298,34.954607,-12.630371,0.021614,0.059816
0.076000,584.463518,34.935237,-12.608791,0.021573,0.059773
0.077000,584.371298,34.954607,-12.630371,0.021614,0.059816
0.078000,584.371298,34.954607,-12.630371,0.021614,0.059816
0.079000,584.466518,34.974497,-12.652731,0.021648,0.059840
0.080000,584.281428,35.013457,-12.652551,0.021655,0.059926
0.081000,584.186208,34.993567,-12.630191,0.021620,0.059901
0.082000,584.281428,35.013457,-12.652551,0.021655,0.059926
0.083000,584.469518,35.013757,-12.696671,0.021723,0.059907
0.084000,584.470948,35.014237,-12.651661,0.021646,0.059908
0.085000,584.466518,34.974497,-12.652731,0.021648,0.059840
0.086000,584.376648,35.033347,-12.674911,0.021690,0.059950
0.087000,584.376648,35.033347,-12.674911,0.021690,0.059950
0.088000,584.376648,35.033347,-12.674911,0.021690,0.059950
0.089000,584.376648,35.033347,-12.674911,0.021690,0.059950
0.090000,584.376648,35.033347,-12.674911,0.021690,0.059950
0.091000,584.564088,35.033867,-12.675691,0.021684,0.059932
0.092000,584.564738,35.033647,-12.719031,0.021758,0.059931
0.093000,584.656958,35.014277,-12.697451,0.021718,0.059889
0.094000,584.660738,35.054237,-12.653041,0.021642,0.059957
0.095000,584.567868,35.073827,-12.631281,0.021608,0.060000
0.096000,584.568518,35.073607,-12.674621,0.021682,0.059999
0.097000,584.471868,35.053237,-12.697271,0.021724,0.059974
0.098000,584.475648,35.093197,-12.652861,0.021648,0.060042
0.099000,584.660738,35.054237,-12.653041,0.021642,0.059957
0.100000,584.751528,35.034387,-12.676471,0.021678,0.059913
0.101000,584.754528,35.073647,-12.720411,0.021753,0.059980
0.102000,584.851178,35.094017,-12.697761,0.021711,0.060005
0.103000,584.567088,35.073127,-12.719631,0.021759,0.059998
0.104000,584.755958,35.074127,-12.675401,0.021676,0.059981
0.105000,584.667518,35.133457,-12.652571,0.021641,0.060091
0.106000,584.477998,35.132677,-12.653461,0.021649,0.060109
0.107000,584.762738,35.153347,-12.674931,0.021675,0.060116
0.108000,584.947828,35.114387,-12.675111,0.021669,0.060030
0.109000,584.947828,35.114387,-12.675111,0.021669,0.060030
0.110000,584.855608,35.133757,-12.696691,0.021709,0.060073
0.111000,584.950828,35.153647,-12.719051,0.021744,0.060097
0.112000,584.950828,35.153647,-12.719051,0.021744,0.060097
0.113000,584.758958,35.113387,-12.719341,0.021751,0.060048
0.114000,584.854178,35.133277,-12.741701,0.021786,0.060072
0.115000,584.855608,35.133757,-12.696691,0.021709,0.060073
0.116000,584.855608,35.133757,-12.696691,0.021709,0.060073
0.117000,585.043048,35.134277,-12.697471,0.021703,0.060054
0.118000,585.043048,35.134277,-12.697471,0.021703,0.060054
0.119000,585.043048,35.134277,-12.697471,0.021703,0.060054
0.120000,584.855608,35.133757,-12.696691,0.021709,0.060073
0.121000,584.758958,35.113387,-12.719341,0.021751,0.060048
0.122000,584.947828,35.114387,-12.675111,0.021669,0.060030
0.123000,584.947828,35.114387,-12.675111,0.021669,0.060030
0.124000,584.947828,35.114387,-12.675111,0.021669,0.060030
0.125000,585.043048,35.134277,-12.697471,0.021703,0.060054
0.126000,585.138268,35.154167,-12.719831,0.021738,0.060078
0.127000,585.135918,35.114687,-12.719231,0.021737,0.060011
0.128000,584.950828,35.153647,-12.719051,0.021744,0.060097
0.129000,584.946398,35.113907,-12.720121,0.021746,0.060029
0.130000,584.854178,35.133277,-12.741701,0.021786,0.060072
0.131000,584.854178,35.133277,-12.741701,0.021786,0.060072
0.132000,584.851828,35.093797,-12.741101,0.021785,0.060005
0.133000,585.039268,35.094317,-12.741881,0.021780,0.059986
0.134000,585.135918,35.114687,-12.719231,0.021737,0.060011
0.135000,585.226708,35.094837,-12.742661,0.021774,0.059968
0.136000,585.037838,35.093837,-12.786891,0.021857,0.059986
0.137000,585.132138,35.074727,-12.763641,0.021813,0.059943
0.138000,585.039918,35.094097,-12.785221,0.021854,0.059986
0.139000,585.039268,35.094317,-12.741881,0.021780,0.059986
0.140000,585.039268,35.094317,-12.741881,0.021780,0.059986
0.141000,585.035488,35.054357,-12.786291,0.021856,0.059918
0.142000,585.039918,35.094097,-12.785221,0.021854,0.059986
0.143000,585.132138,35.074727,-12.763641,0.021813,0.059943
0.144000,585.039918,35.094097,-12.785221,0.021854,0.059986
0.145000,585.035488,35.054357,-12.786291,0.021856,0.059918
0.146000,584.940268,35.034467,-12.763931,0.021821,0.059894
0.147000,584.942618,35.073947,-12.764531,0.021822,0.059961
0.148000,585.035488,35.054357,-12.786291,0.021856,0.059918
0.149000,585.033138,35.014877,-12.785691,0.021855,0.059851
0.150000,585.033138,35.014877,-12.785691,0.021855,0.059851
0.151000,585.033138,35.014877,-12.785691,0.021855,0.059851
0.152000,585.033138,35.014877,-12.785691,0.021855,0.059851
0.153000,585.033138,35.014877,-12.785691,0.021855,0.059851
0.154000,584.940268,35.034467,-12.763931,0.021821,0.059894
0.155000,584.843618,35.014097,-12.786581,0.021863,0.059869
0.156000,584.843618,35.014097,-12.786581,0.021863,0.059869
