Time,Fz,Mx,My,CoPx,CoPy
0.000000,586.147728,35.868897,-14.300591,0.024398,0.061194
0.001000,586.051078,35.848527,-14.323241,0.024440,0.061170
0.002000,586.240598,35.849307,-14.322351,0.024431,0.061151
0.003000,586.240598,35.849307,-14.322351,0.024431,0.061151
0.004000,585.956508,35.828417,-14.344221,0.024480,0.061145
0.005000,585.861288,35.808527,-14.321861,0.024446,0.061121
0.006000,585.864288,35.847787,-14.365801,0.024521,0.061188
0.007000,585.671768,35.807747,-14.322751,0.024455,0.061140
0.008000,585.671768,35.807747,-14.322751,0.024455,0.061140
0.009000,585.668768,35.768487,-14.278811,0.024380,0.061073
0.010000,585.763988,35.788377,-14.301171,0.024415,0.061097
0.011000,585.760988,35.749117,-14.257231,0.024340,0.061030
0.012000,585.668768,35.768487,-14.278811,0.024380,0.061073
0.013000,585.572768,35.747897,-14.344801,0.024497,0.061048
0.014000,585.479898,35.767487,-14.323041,0.024464,0.061091
0.015000,585.384678,35.747597,-14.300681,0.024430,0.061067
0.016000,585.288028,35.727227,-14.323331,0.024472,0.061042
0.017000,585.195158,35.746817,-14.301571,0.024439,0.061085
0.018000,585.195158,35.746817,-14.301571,0.024439,0.061085
0.019000,585.288028,35.727227,-14.323331,0.024472,0.061042
0.020000,585.192808,35.707337,-14.300971,0.024438,0.061018
0.021000,585.003938,35.706337,-14.345201,0.024522,0.061036
0.022000,584.911068,35.725927,-14.323441,0.024488,0.061079
0.023000,584.908068,35.686667,-14.279501,0.024413,0.061012
0.024000,584.626328,35.705257,-14.301971,0.024463,0.061074
0.025000,584.719198,35.685667,-14.323731,0.024497,0.061030
0.026000,584.619548,35.626037,-14.302441,0.024465,0.060939
0.027000,584.619548,35.626037,-14.302441,0.024465,0.060939
0.028000,584.527328,35.645407,-14.324021,0.024505,0.060982
0.029000,584.527328,35.645407,-14.324021,0.024505,0.060982
0.030000,584.432108,35.625517,-14.301661,0.024471,0.060957
0.031000,584.339888,35.644887,-14.323241,0.024512,0.061000
0.032000,584.150368,35.644107,-14.324131,0.024521,0.061019
0.033000,584.242588,35.624737,-14.302551,0.024481,0.060976
0.034000,584.150368,35.644107,-14.324131,0.024521,0.061019
0.035000,584.243238,35.624517,-14.345891,0.024555,0.060975
0.036000,584.335458,35.605147,-14.324311,0.024514,0.060933
0.037000,584.335458,35.605147,-14.324311,0.024514,0.060933
0.038000,584.050718,35.584477,-14.302841,0.024489,0.060927
0.039000,583.958498,35.603847,-14.324421,0.024530,0.060970
0.040000,584.050718,35.584477,-14.302841,0.024489,0.060927
0.041000,583.958498,35.603847,-14.324421,0.024530,0.060970
0.042000,583.958498,35.603847,-14.324421,0.024530,0.060970
0.043000,583.956148,35.564367,-14.323821,0.024529,0.060902
0.044000,583.863278,35.583957,-14.302061,0.024496,0.060946
0.045000,583.863278,35.583957,-14.302061,0.024496,0.060946
0.046000,583.678188,35.622917,-14.301881,0.024503,0.061032
0.047000,583.678188,35.622917,-14.301881,0.024503,0.061032
0.048000,583.674408,35.582957,-14.346291,0.024579,0.060964
0.049000,583.771058,35.603327,-14.323641,0.024536,0.060989
0.050000,583.678188,35.622917,-14.301881,0.024503,0.061032
0.051000,583.863278,35.583957,-14.302061,0.024496,0.060946
0.052000,583.955498,35.564587,-14.280481,0.024455,0.060903
0.053000,583.863278,35.583957,-14.302061,0.024496,0.060946
0.054000,583.863278,35.583957,-14.302061,0.024496,0.060946
0.055000,583.674408,35.582957,-14.346291,0.024579,0.060964
0.056000,583.771058,35.603327,-14.323641,0.024536,0.060989
0.057000,583.771058,35.603327,-14.323641,0.024536,0.060989
0.058000,583.766628,35.563587,-14.324711,0.024538,0.060921
0.059000,583.771058,35.603327,-14.323641,0.024536,0.060989
