Time,Fz,Mx,My,CoPx,CoPy
0.000000,584.981375,40.437187,-13.017459,0.022253,0.069126
0.001000,585.074245,40.417597,-13.039219,0.022286,0.069081
0.002000,585.078025,40.457557,-12.994809,0.022210,0.069149
0.003000,585.078025,40.457557,-12.994809,0.022210,0.069149
0.004000,585.073595,40.417817,-12.995879,0.022212,0.069082
0.005000,585.170895,40.437967,-13.016569,0.022244,0.069105
0.006000,585.078025,40.457557,-12.994809,0.022210,0.069149
0.007000,585.358335,40.438487,-13.017349,0.022238,0.069083
0.008000,585.358335,40.438487,-13.017349,0.022238,0.069083
0.009000,585.170245,40.438187,-12.973229,0.022170,0.069105
0.010000,585.170245,40.438187,-12.973229,0.022170,0.069105
0.011000,585.078025,40.457557,-12.994809,0.022210,0.069149
0.012000,585.170245,40.438187,-12.973229,0.022170,0.069105
0.013000,585.078025,40.457557,-12.994809,0.022210,0.069149
0.014000,585.170245,40.438187,-12.973229,0.022170,0.069105
0.015000,585.262465,40.418817,-12.951649,0.022130,0.069061
0.016000,585.266895,40.458557,-12.950579,0.022128,0.069128
0.017000,585.266895,40.458557,-12.950579,0.022128,0.069128
0.018000,585.075025,40.418297,-12.950869,0.022135,0.069082
0.019000,584.982805,40.437667,-12.972449,0.022176,0.069126
0.020000,585.078025,40.457557,-12.994809,0.022210,0.069149
0.021000,585.171675,40.438667,-12.928219,0.022093,0.069106
0.022000,585.170245,40.438187,-12.973229,0.022170,0.069105
0.023000,585.262465,40.418817,-12.951649,0.022130,0.069061
0.024000,585.167245,40.398927,-12.929289,0.022095,0.069038
0.025000,585.171675,40.438667,-12.928219,0.022093,0.069106
0.026000,584.985155,40.477147,-12.973049,0.022177,0.069193
0.027000,585.075025,40.418297,-12.950869,0.022135,0.069082
0.028000,584.982155,40.437887,-12.929109,0.022102,0.069127
0.029000,584.982155,40.437887,-12.929109,0.022102,0.069127
0.030000,585.171025,40.438887,-12.884879,0.022019,0.069106
0.031000,585.075025,40.418297,-12.950869,0.022135,0.069082
0.032000,584.886935,40.417997,-12.906749,0.022067,0.069104
0.033000,584.884585,40.378517,-12.906149,0.022066,0.069037
0.034000,584.884585,40.378517,-12.906149,0.022066,0.069037
0.035000,584.883155,40.378037,-12.951159,0.022143,0.069036
0.036000,584.602845,40.397107,-12.928619,0.022115,0.069102
0.037000,584.699495,40.417477,-12.905969,0.022073,0.069125
0.038000,584.699495,40.417477,-12.905969,0.022073,0.069125
0.039000,584.602845,40.397107,-12.928619,0.022115,0.069102
0.040000,584.690635,40.337997,-12.908109,0.022077,0.068990
0.041000,584.506195,40.376737,-12.951269,0.022158,0.069078
0.042000,584.415405,40.396587,-12.927839,0.022121,0.069123
0.043000,584.322535,40.416177,-12.906079,0.022087,0.069168
0.044000,584.223535,40.356327,-12.928129,0.022129,0.069077
0.045000,584.320185,40.376697,-12.905479,0.022086,0.069100
0.046000,584.318755,40.376217,-12.950489,0.022163,0.069100
0.047000,584.410975,40.356847,-12.928909,0.022123,0.069056
0.048000,584.507625,40.377217,-12.906259,0.022081,0.069079
0.049000,584.507625,40.377217,-12.906259,0.022081,0.069079
0.050000,584.318105,40.376437,-12.907149,0.022089,0.069100
0.051000,584.225885,40.395807,-12.928729,0.022130,0.069144
0.052000,584.225885,40.395807,-12.928729,0.022130,0.069144
0.053000,583.941795,40.374917,-12.950599,0.022178,0.069142
0.054000,584.038445,40.395287,-12.927949,0.022135,0.069165
0.055000,584.225885,40.395807,-12.928729,0.022130,0.069144
0.056000,584.130665,40.375917,-12.906369,0.022095,0.069121
0.057000,584.130665,40.375917,-12.906369,0.022095,0.069121
0.058000,584.133015,40.415397,-12.906969,0.022096,0.069189
0.059000,584.037795,40.395507,-12.884609,0.022061,0.069166
0.060000,584.038445,40.395287,-12.927949,0.022135,0.069165
0.061000,583.945575,40.414877,-12.906189,0.022102,0.069210
0.062000,583.945575,40.414877,-12.906189,0.022102,0.069210
0.063000,584.038445,40.395287,-12.927949,0.022135,0.069165
0.064000,584.133665,40.415177,-12.950309,0.022170,0.069188
0.065000,584.040795,40.434767,-12.928549,0.022136,0.069233
0.066000,584.038445,40.395287,-12.927949,0.022135,0.069165
0.067000,583.945575,40.414877,-12.906189,0.022102,0.069210
0.068000,583.853355,40.434247,-12.927769,0.022142,0.069254
0.069000,583.853355,40.434247,-12.927769,0.022142,0.069254
0.070000,583.663835,40.433467,-12.928659,0.022151,0.069275
0.071000,583.853355,40.434247,-12.927769,0.022142,0.069254
0.072000,583.950005,40.454617,-12.905119,0.022100,0.069278
0.073000,584.137445,40.455137,-12.905899,0.022094,0.069256
0.074000,584.045225,40.474507,-12.927479,0.022134,0.069300
0.075000,584.045225,40.474507,-12.927479,0.022134,0.069300
0.076000,583.952355,40.494097,-12.905719,0.022101,0.069345
0.077000,583.952355,40.494097,-12.905719,0.022101,0.069345
0.078000,583.952355,40.494097,-12.905719,0.022101,0.069345
0.079000,584.047575,40.513987,-12.928079,0.022135,0.069368
0.080000,583.952355,40.494097,-12.905719,0.022101,0.069345
0.081000,584.144225,40.534357,-12.905429,0.022093,0.069391
0.082000,584.144225,40.534357,-12.905429,0.022093,0.069391
0.083000,584.051355,40.553947,-12.883669,0.022059,0.069436
0.084000,584.052005,40.553727,-12.927009,0.022133,0.069435
0.085000,583.862485,40.552947,-12.927899,0.022142,0.069456
0.086000,583.961485,40.612797,-12.905849,0.022101,0.069547
0.087000,584.052005,40.553727,-12.927009,0.022133,0.069435
0.088000,584.240875,40.554727,-12.882779,0.022050,0.069414
0.089000,584.336095,40.574617,-12.905139,0.022085,0.069437
0.090000,584.435095,40.634467,-12.883089,0.022044,0.069528
0.091000,584.435095,40.634467,-12.883089,0.022044,0.069528
0.092000,584.435095,40.634467,-12.883089,0.022044,0.069528
0.093000,584.435095,40.634467,-12.883089,0.022044,0.069528
0.094000,584.438095,40.673727,-12.927029,0.022119,0.069595
0.095000,584.438095,40.673727,-12.927029,0.022119,0.069595
0.096000,584.533315,40.693617,-12.949389,0.022153,0.069617
0.097000,584.629965,40.713987,-12.926739,0.022111,0.069641
0.098000,584.629965,40.713987,-12.926739,0.022111,0.069641
0.099000,584.725185,40.733877,-12.949099,0.022146,0.069663
0.100000,584.725185,40.733877,-12.949099,0.022146,0.069663
0.101000,584.722835,40.694397,-12.948499,0.022145,0.069596
0.102000,584.632315,40.753467,-12.927339,0.022112,0.069708
0.103000,584.632315,40.753467,-12.927339,0.022112,0.069708
0.104000,584.725185,40.733877,-12.949099,0.022146,0.069663
0.105000,584.917055,40.774137,-12.948809,0.022138,0.069709
0.106000,585.009275,40.754767,-12.927229,0.022097,0.069665
0.107000,584.917055,40.774137,-12.948809,0.022138,0.069709
0.108000,585.012275,40.794027,-12.971169,0.022172,0.069732
0.109000,584.917055,40.774137,-12.948809,0.022138,0.069709
0.110000,584.917055,40.774137,-12.948809,0.022138,0.069709
0.111000,585.013705,40.794507,-12.926159,0.022095,0.069733
0.112000,584.921485,40.813877,-12.947739,0.022136,0.069777
0.113000,585.013705,40.794507,-12.926159,0.022095,0.069733
0.114000,585.205575,40.834767,-12.925869,0.022088,0.069778
0.115000,585.300795,40.854657,-12.948229,0.022122,0.069801
0.116000,585.300795,40.854657,-12.948229,0.022122,0.069801
0.117000,585.112705,40.854357,-12.904109,0.022054,0.069823
0.118000,585.204925,40.834987,-12.882529,0.022014,0.069779
0.119000,585.112705,40.854357,-12.904109,0.022054,0.069823
0.120000,585.397445,40.875027,-12.925579,0.022080,0.069824
0.121000,585.397445,40.875027,-12.925579,0.022080,0.069824
0.122000,585.304575,40.894617,-12.903819,0.022046,0.069869
0.123000,585.302225,40.855137,-12.903219,0.022045,0.069802
0.124000,585.489665,40.855657,-12.903999,0.022040,0.069780
0.125000,585.494095,40.895397,-12.902929,0.022038,0.069848
0.126000,585.306005,40.895097,-12.858809,0.021969,0.069870
0.127000,585.401225,40.914987,-12.881169,0.022004,0.069892
0.128000,585.398875,40.875507,-12.880569,0.022003,0.069825
0.129000,585.494095,40.895397,-12.902929,0.022038,0.069848
0.130000,585.682965,40.896397,-12.858699,0.021955,0.069827
0.131000,585.780265,40.916547,-12.879389,0.021987,0.069850
0.132000,585.780265,40.916547,-12.879389,0.021987,0.069850
0.133000,585.784045,40.956507,-12.834979,0.021911,0.069917
0.134000,585.876265,40.937137,-12.813399,0.021870,0.069873
0.135000,585.876265,40.937137,-12.813399,0.021870,0.069873
0.136000,585.783395,40.956727,-12.791639,0.021837,0.069918
0.137000,585.876265,40.937137,-12.813399,0.021870,0.069873
0.138000,586.065785,40.937917,-12.812509,0.021862,0.069852
0.139000,586.069565,40.977877,-12.768099,0.021786,0.069920
0.140000,586.069565,40.977877,-12.768099,0.021786,0.069920
0.141000,586.159435,40.919027,-12.745919,0.021745,0.069809
0.142000,586.254655,40.938917,-12.768279,0.021779,0.069831
0.143000,586.254655,40.938917,-12.768279,0.021779,0.069831
0.144000,586.159435,40.919027,-12.745919,0.021745,0.069809
0.145000,586.251655,40.899657,-12.724339,0.021705,0.069765
0.146000,586.346875,40.919547,-12.746699,0.021739,0.069787
0.147000,586.441175,40.900437,-12.723449,0.021696,0.069743
0.148000,586.251655,40.899657,-12.724339,0.021705,0.069765
0.149000,586.441175,40.900437,-12.723449,0.021696,0.069743
0.150000,586.344525,40.880067,-12.746099,0.021738,0.069720
0.151000,586.351305,40.959287,-12.745629,0.021737,0.069855
0.152000,586.252305,40.899437,-12.767679,0.021778,0.069764
