Time,Fz,Mx,My,CoPx,CoPy
0.000000,585.373998,33.406088,-13.820241,0.023609,0.057068
0.001000,585.279428,33.385978,-13.841221,0.023649,0.057043
0.002000,585.278778,33.386198,-13.797881,0.023575,0.057043
0.003000,585.279428,33.385978,-13.841221,0.023649,0.057043
0.004000,585.279428,33.385978,-13.841221,0.023649,0.057043
0.005000,585.274998,33.346238,-13.842291,0.023651,0.056975
0.006000,585.466868,33.386498,-13.842001,0.023643,0.057025
0.007000,585.559088,33.367128,-13.820421,0.023602,0.056983
0.008000,585.651958,33.347538,-13.842181,0.023636,0.056941
0.009000,585.744178,33.328168,-13.820601,0.023595,0.056899
0.010000,585.648958,33.308278,-13.798241,0.023561,0.056874
0.011000,585.648958,33.308278,-13.798241,0.023561,0.056874
0.012000,585.463868,33.347238,-13.798061,0.023568,0.056959
0.013000,585.556088,33.327868,-13.776481,0.023527,0.056917
0.014000,585.556088,33.327868,-13.776481,0.023527,0.056917
0.015000,585.648958,33.308278,-13.798241,0.023561,0.056874
0.016000,585.741828,33.288688,-13.820001,0.023594,0.056832
0.017000,585.646608,33.268798,-13.797641,0.023560,0.056807
0.018000,585.645178,33.268318,-13.842651,0.023637,0.056806
0.019000,585.549958,33.248428,-13.820291,0.023602,0.056782
0.020000,585.360438,33.247648,-13.821181,0.023611,0.056799
0.021000,585.358088,33.208168,-13.820581,0.023610,0.056731
0.022000,585.450308,33.188798,-13.799001,0.023570,0.056689
0.023000,585.546958,33.209168,-13.776351,0.023527,0.056715
0.024000,585.451738,33.189278,-13.753991,0.023493,0.056690
0.025000,585.451738,33.189278,-13.753991,0.023493,0.056690
0.026000,585.447958,33.149318,-13.798401,0.023569,0.056622
0.027000,585.352738,33.129428,-13.776041,0.023535,0.056597
0.028000,585.163218,33.128648,-13.776931,0.023544,0.056614
0.029000,585.067998,33.108758,-13.754571,0.023509,0.056590
0.030000,585.067998,33.108758,-13.754571,0.023509,0.056590
0.031000,584.971348,33.088388,-13.777221,0.023552,0.056564
0.032000,585.064218,33.068798,-13.798981,0.023585,0.056522
0.033000,585.059788,33.029058,-13.800051,0.023587,0.056454
0.034000,584.963918,33.009388,-13.734351,0.023479,0.056430
0.035000,584.968348,33.049128,-13.733281,0.023477,0.056497
0.036000,584.964568,33.009168,-13.777691,0.023553,0.056429
0.037000,584.772698,32.968908,-13.777981,0.023561,0.056379
0.038000,584.677478,32.949018,-13.755621,0.023527,0.056354
0.039000,584.677478,32.949018,-13.755621,0.023527,0.056354
0.040000,584.677478,32.949018,-13.755621,0.023527,0.056354
0.041000,584.677478,32.949018,-13.755621,0.023527,0.056354
0.042000,584.862568,32.910058,-13.755801,0.023520,0.056270
0.043000,584.765918,32.889688,-13.778451,0.023562,0.056244
0.044000,584.670698,32.869798,-13.756091,0.023528,0.056219
0.045000,584.388958,32.888388,-13.778561,0.023578,0.056278
0.046000,584.293738,32.868498,-13.756201,0.023543,0.056253
0.047000,584.291388,32.829018,-13.755601,0.023542,0.056186
0.048000,584.383608,32.809648,-13.734021,0.023502,0.056144
0.049000,584.383608,32.809648,-13.734021,0.023502,0.056144
0.050000,584.476478,32.790058,-13.755781,0.023535,0.056102
0.051000,584.380608,32.770388,-13.690081,0.023427,0.056077
0.052000,584.376178,32.730648,-13.691151,0.023429,0.056010
0.053000,584.283308,32.750238,-13.669391,0.023395,0.056052
0.054000,584.283958,32.750018,-13.712731,0.023469,0.056052
0.055000,584.283958,32.750018,-13.712731,0.023469,0.056052
0.056000,584.278608,32.671278,-13.668191,0.023393,0.055917
0.057000,584.277178,32.670798,-13.713201,0.023470,0.055917
0.058000,584.277178,32.670798,-13.713201,0.023470,0.055917
0.059000,584.181958,32.650908,-13.690841,0.023436,0.055892
0.060000,584.181958,32.650908,-13.690841,0.023436,0.055892
0.061000,584.086738,32.631018,-13.668481,0.023401,0.055867
0.062000,584.086088,32.631238,-13.625141,0.023327,0.055867
0.063000,584.178958,32.611648,-13.646901,0.023361,0.055825
0.064000,584.178958,32.611648,-13.646901,0.023361,0.055825
0.065000,584.367828,32.612648,-13.602671,0.023278,0.055808
0.066000,584.268828,32.552798,-13.624721,0.023319,0.055715
0.067000,584.079308,32.552018,-13.625611,0.023328,0.055732
0.068000,584.080738,32.552498,-13.580601,0.023251,0.055733
0.069000,583.984088,32.532128,-13.603251,0.023294,0.055707
0.070000,584.076308,32.512758,-13.581671,0.023253,0.055665
0.071000,583.888868,32.512238,-13.580891,0.023259,0.055682
0.072000,583.981088,32.492868,-13.559311,0.023219,0.055640
0.073000,583.978738,32.453388,-13.558711,0.023218,0.055573
0.074000,583.882088,32.433018,-13.581361,0.023260,0.055547
0.075000,583.882088,32.433018,-13.581361,0.023260,0.055547
0.076000,583.978738,32.453388,-13.558711,0.023218,0.055573
0.077000,583.786868,32.413128,-13.559001,0.023226,0.055522
0.078000,583.783088,32.373168,-13.603411,0.023302,0.055454
0.079000,583.690218,32.392758,-13.581651,0.023269,0.055496
0.080000,583.691648,32.393238,-13.536641,0.023191,0.055497
0.081000,583.876738,32.354278,-13.536821,0.023184,0.055413
0.082000,583.687218,32.353498,-13.537711,0.023193,0.055430
0.083000,583.779438,32.334128,-13.516131,0.023153,0.055388
0.084000,583.687218,32.353498,-13.537711,0.023193,0.055430
0.085000,583.783868,32.373868,-13.515061,0.023151,0.055455
0.086000,583.590568,32.333128,-13.560361,0.023236,0.055404
0.087000,583.495348,32.313238,-13.538001,0.023202,0.055379
0.088000,583.495348,32.313238,-13.538001,0.023202,0.055379
0.089000,583.587568,32.293868,-13.516421,0.023161,0.055337
0.090000,583.772658,32.254908,-13.516601,0.023154,0.055253
0.091000,583.677438,32.235018,-13.494241,0.023119,0.055227
0.092000,583.677438,32.235018,-13.494241,0.023119,0.055227
0.093000,583.677438,32.235018,-13.494241,0.023119,0.055227
0.094000,583.677438,32.235018,-13.494241,0.023119,0.055227
0.095000,583.394778,32.214608,-13.471101,0.023091,0.055219
0.096000,583.205258,32.213828,-13.471991,0.023100,0.055236
0.097000,583.205258,32.213828,-13.471991,0.023100,0.055236
0.098000,583.293698,32.154498,-13.494821,0.023136,0.055126
0.099000,583.202908,32.174348,-13.471391,0.023099,0.055168
0.100000,583.295128,32.154978,-13.449811,0.023058,0.055126
0.101000,583.295128,32.154978,-13.449811,0.023058,0.055126
0.102000,583.383568,32.095648,-13.472641,0.023094,0.055016
0.103000,583.195478,32.095348,-13.428521,0.023026,0.055034
0.104000,583.103258,32.114718,-13.450101,0.023066,0.055076
0.105000,583.195478,32.095348,-13.428521,0.023026,0.055034
0.106000,583.193128,32.055868,-13.427921,0.023025,0.054966
0.107000,583.193128,32.055868,-13.427921,0.023025,0.054966
0.108000,583.285348,32.036498,-13.406341,0.022984,0.054924
0.109000,583.285348,32.036498,-13.406341,0.022984,0.054924
0.110000,583.190778,32.016388,-13.427321,0.023024,0.054899
0.111000,583.093478,31.996238,-13.406631,0.022992,0.054873
0.112000,583.282998,31.997018,-13.405741,0.022983,0.054857
0.113000,583.097908,32.035978,-13.405561,0.022990,0.054941
0.114000,583.190128,32.016608,-13.383981,0.022950,0.054899
0.115000,583.279998,31.957758,-13.361801,0.022908,0.054790
0.116000,583.372868,31.938168,-13.383561,0.022942,0.054747
0.117000,583.279998,31.957758,-13.361801,0.022908,0.054790
0.118000,583.279998,31.957758,-13.361801,0.022908,0.054790
0.119000,583.183348,31.937388,-13.384451,0.022951,0.054764
0.120000,583.088128,31.917498,-13.362091,0.022916,0.054739
0.121000,583.273218,31.878538,-13.362271,0.022909,0.054655
0.122000,583.273218,31.878538,-13.362271,0.022909,0.054655
0.123000,583.459738,31.840058,-13.317441,0.022825,0.054571
0.124000,583.554958,31.859948,-13.339801,0.022860,0.054596
0.125000,583.554958,31.859948,-13.339801,0.022860,0.054596
0.126000,583.458308,31.839578,-13.362451,0.022902,0.054570
0.127000,583.363088,31.819688,-13.340091,0.022868,0.054545
0.128000,583.270868,31.839058,-13.361671,0.022908,0.054587
0.129000,583.457388,31.800578,-13.316841,0.022824,0.054504
0.130000,583.363088,31.819688,-13.340091,0.022868,0.054545
0.131000,583.267868,31.799798,-13.317731,0.022833,0.054520
0.132000,583.357738,31.740948,-13.295551,0.022791,0.054411
0.133000,583.452958,31.760838,-13.317911,0.022826,0.054436
0.134000,583.641048,31.761138,-13.362031,0.022894,0.054419
0.135000,583.641048,31.761138,-13.362031,0.022894,0.054419
0.136000,583.452958,31.760838,-13.317911,0.022826,0.054436
0.137000,583.450608,31.721358,-13.317311,0.022825,0.054369
0.138000,583.450608,31.721358,-13.317311,0.022825,0.054369
0.139000,583.450608,31.721358,-13.317311,0.022825,0.054369
0.140000,583.448258,31.681878,-13.316711,0.022824,0.054301
0.141000,583.635698,31.682398,-13.317491,0.022818,0.054285
0.142000,583.635698,31.682398,-13.317491,0.022818,0.054285
0.143000,583.540478,31.662508,-13.295131,0.022784,0.054259
