Time,Fz,Mx,My,CoPx,CoPy
0.000000,585.350838,34.335227,-15.126651,0.025842,0.058658
0.001000,585.538928,34.335527,-15.170771,0.025909,0.058639
0.002000,585.538928,34.335527,-15.170771,0.025909,0.058639
0.003000,585.634148,34.355417,-15.193131,0.025943,0.058664
0.004000,585.726368,34.336047,-15.171551,0.025902,0.058621
0.005000,585.634148,34.355417,-15.193131,0.025943,0.058664
0.006000,585.538928,34.335527,-15.170771,0.025909,0.058639
0.007000,585.534498,34.295787,-15.171841,0.025911,0.058572
0.008000,585.726368,34.336047,-15.171551,0.025902,0.058621
0.009000,585.634148,34.355417,-15.193131,0.025943,0.058664
0.010000,585.726368,34.336047,-15.171551,0.025902,0.058621
0.011000,585.726368,34.336047,-15.171551,0.025902,0.058621
0.012000,585.915238,34.337047,-15.127321,0.025818,0.058604
0.013000,585.915888,34.336827,-15.170661,0.025892,0.058604
0.014000,585.911458,34.297087,-15.171731,0.025894,0.058536
0.015000,585.821588,34.355937,-15.193911,0.025936,0.058646
0.016000,585.821588,34.355937,-15.193911,0.025936,0.058646
0.017000,585.914458,34.336347,-15.215671,0.025969,0.058603
0.018000,586.011108,34.356717,-15.193021,0.025926,0.058628
0.019000,586.011108,34.356717,-15.193021,0.025926,0.058628
0.020000,586.103328,34.337347,-15.171441,0.025885,0.058586
0.021000,586.006678,34.316977,-15.194091,0.025928,0.058561
0.022000,586.195548,34.317977,-15.149861,0.025844,0.058544
0.023000,586.103328,34.337347,-15.171441,0.025885,0.058586
0.024000,585.914458,34.336347,-15.215671,0.025969,0.058603
0.025000,585.914458,34.336347,-15.215671,0.025969,0.058603
0.026000,586.006678,34.316977,-15.194091,0.025928,0.058561
0.027000,585.914458,34.336347,-15.215671,0.025969,0.058603
0.028000,586.006678,34.316977,-15.194091,0.025928,0.058561
0.029000,586.103328,34.337347,-15.171441,0.025885,0.058586
0.030000,585.819238,34.316457,-15.193311,0.025935,0.058579
0.031000,585.911458,34.297087,-15.171731,0.025894,0.058536
0.032000,585.819238,34.316457,-15.193311,0.025935,0.058579
0.033000,585.726368,34.336047,-15.171551,0.025902,0.058621
0.034000,585.629718,34.315677,-15.194201,0.025945,0.058596
0.035000,585.631148,34.316157,-15.149191,0.025868,0.058597
0.036000,585.724018,34.296567,-15.170951,0.025901,0.058554
0.037000,585.628798,34.276677,-15.148591,0.025867,0.058530
0.038000,585.534498,34.295787,-15.171841,0.025911,0.058572
0.039000,585.439278,34.275897,-15.149481,0.025877,0.058547
0.040000,585.344058,34.256007,-15.127121,0.025843,0.058523
0.041000,585.439278,34.275897,-15.149481,0.025877,0.058547
0.042000,585.155188,34.255007,-15.171351,0.025927,0.058540
0.043000,585.248838,34.236117,-15.104761,0.025809,0.058498
0.044000,585.155968,34.255707,-15.083001,0.025776,0.058541
0.045000,585.155968,34.255707,-15.083001,0.025776,0.058541
0.046000,585.344058,34.256007,-15.127121,0.025843,0.058523
0.047000,585.248838,34.236117,-15.104761,0.025809,0.058498
0.048000,585.059968,34.235117,-15.148991,0.025893,0.058516
0.049000,585.055538,34.195377,-15.150061,0.025895,0.058448
0.050000,584.870448,34.234337,-15.149881,0.025903,0.058533
0.051000,584.967098,34.254707,-15.127231,0.025860,0.058558
0.052000,584.871878,34.234817,-15.104871,0.025826,0.058534
0.053000,584.871878,34.234817,-15.104871,0.025826,0.058534
0.054000,585.152188,34.215747,-15.127411,0.025852,0.058473
0.055000,585.152188,34.215747,-15.127411,0.025852,0.058473
0.056000,584.964098,34.215447,-15.083291,0.025785,0.058492
0.057000,584.867448,34.195077,-15.105941,0.025828,0.058466
0.058000,584.779008,34.254407,-15.083111,0.025793,0.058577
0.059000,584.775228,34.214447,-15.127521,0.025869,0.058509
0.060000,584.590138,34.253407,-15.127341,0.025877,0.058594
0.061000,584.870448,34.234337,-15.149881,0.025903,0.058533
0.062000,584.962668,34.214967,-15.128301,0.025862,0.058491
0.063000,584.960318,34.175487,-15.127701,0.025861,0.058424
0.064000,584.775228,34.214447,-15.127521,0.025869,0.058509
0.065000,584.775228,34.214447,-15.127521,0.025869,0.058509
0.066000,584.775228,34.214447,-15.127521,0.025869,0.058509
0.067000,584.678578,34.194077,-15.150171,0.025912,0.058484
0.068000,584.583358,34.174188,-15.127811,0.025878,0.058459
0.069000,584.583358,34.174188,-15.127811,0.025878,0.058459
0.070000,584.772878,34.174967,-15.126921,0.025868,0.058441
0.071000,584.676228,34.154598,-15.149571,0.025911,0.058416
0.072000,584.771448,34.174487,-15.171931,0.025945,0.058441
0.073000,584.676228,34.154598,-15.149571,0.025911,0.058416
0.074000,584.584788,34.174668,-15.082801,0.025801,0.058460
0.075000,584.583358,34.174188,-15.127811,0.025878,0.058459
0.076000,584.583358,34.174188,-15.127811,0.025878,0.058459
0.077000,584.581008,34.134708,-15.127211,0.025877,0.058392
0.078000,584.581008,34.134708,-15.127211,0.025877,0.058392
0.079000,584.581008,34.134708,-15.127211,0.025877,0.058392
0.080000,584.576578,34.094968,-15.128281,0.025879,0.058324
0.081000,584.483708,34.114558,-15.106521,0.025846,0.058367
0.082000,584.294838,34.113558,-15.150751,0.025930,0.058384
0.083000,584.296268,34.114038,-15.105741,0.025853,0.058385
0.084000,584.294838,34.113558,-15.150751,0.025930,0.058384
0.085000,584.484358,34.114338,-15.149861,0.025920,0.058367
0.086000,584.199618,34.093668,-15.128391,0.025896,0.058360
0.087000,584.292488,34.074078,-15.150151,0.025929,0.058317
0.088000,584.197268,34.054188,-15.127791,0.025895,0.058292
0.089000,584.292488,34.074078,-15.150151,0.025929,0.058317
0.090000,584.104398,34.073778,-15.106031,0.025862,0.058335
0.091000,584.007748,34.053408,-15.128681,0.025905,0.058310
0.092000,583.908748,33.993558,-15.150731,0.025947,0.058217
0.093000,583.815878,34.013148,-15.128971,0.025914,0.058260
0.094000,583.908748,33.993558,-15.150731,0.025947,0.058217
0.095000,583.719228,33.992778,-15.151621,0.025957,0.058235
0.096000,583.815878,34.013148,-15.128971,0.025914,0.058260
0.097000,583.908748,33.993558,-15.150731,0.025947,0.058217
0.098000,583.908748,33.993558,-15.150731,0.025947,0.058217
0.099000,583.624008,33.972888,-15.129261,0.025923,0.058210
0.100000,583.624008,33.972888,-15.129261,0.025923,0.058210
0.101000,583.528788,33.952998,-15.106901,0.025889,0.058186
0.102000,583.527358,33.952518,-15.151911,0.025966,0.058185
0.103000,583.432138,33.932628,-15.129551,0.025932,0.058160
0.104000,583.432138,33.932628,-15.129551,0.025932,0.058160
0.105000,583.527358,33.952518,-15.151911,0.025966,0.058185
0.106000,583.620228,33.932928,-15.173671,0.025999,0.058142
0.107000,583.432138,33.932628,-15.129551,0.025932,0.058160
0.108000,583.148048,33.911738,-15.151421,0.025982,0.058153
0.109000,583.238838,33.891888,-15.174851,0.026018,0.058110
0.110000,583.240268,33.892368,-15.129841,0.025941,0.058110
0.111000,583.429788,33.893148,-15.128951,0.025931,0.058093
0.112000,583.240268,33.892368,-15.129841,0.025941,0.058110
0.113000,583.429138,33.893368,-15.085611,0.025857,0.058093
0.114000,583.333138,33.872778,-15.151601,0.025974,0.058068
0.115000,583.143618,33.871998,-15.152491,0.025984,0.058085
0.116000,583.143618,33.871998,-15.152491,0.025984,0.058085
0.117000,583.145048,33.872478,-15.107481,0.025907,0.058086
0.118000,583.240268,33.892368,-15.129841,0.025941,0.058110
0.119000,583.143618,33.871998,-15.152491,0.025984,0.058085
0.120000,583.143618,33.871998,-15.152491,0.025984,0.058085
0.121000,583.331708,33.872298,-15.196611,0.026051,0.058067
0.122000,583.236488,33.852408,-15.174251,0.026017,0.058042
0.123000,583.143618,33.871998,-15.152491,0.025984,0.058085
0.124000,583.046968,33.851628,-15.175141,0.026027,0.058060
0.125000,583.143618,33.871998,-15.152491,0.025984,0.058085
0.126000,583.046968,33.851628,-15.175141,0.026027,0.058060
0.127000,583.048398,33.852108,-15.130131,0.025950,0.058061
0.128000,583.143618,33.871998,-15.152491,0.025984,0.058085
0.129000,583.236488,33.852408,-15.174251,0.026017,0.058042
0.130000,583.331708,33.872298,-15.196611,0.026051,0.058067
0.131000,583.143618,33.871998,-15.152491,0.025984,0.058085
0.132000,583.238838,33.891888,-15.174851,0.026018,0.058110
0.133000,583.238838,33.891888,-15.174851,0.026018,0.058110
0.134000,583.050748,33.891588,-15.130731,0.025951,0.058128
0.135000,583.238838,33.891888,-15.174851,0.026018,0.058110
0.136000,583.428358,33.892668,-15.173961,0.026008,0.058092
0.137000,583.428358,33.892668,-15.173961,0.026008,0.058092
