Time,Fz,Mx,My,CoPx,CoPy,smoothMx,smoothMy,smoothCoPx,smoothCoPy
0.0,733.748595,59.902715,-7.901447,0.010769,0.081639,,,,
0.1,734.021565,60.896595,-7.457107,0.010159,0.082963,,,,
0.2,732.409225,61.922495,-7.103937,0.009699,0.084546,,,,
0.3,735.222855,61.734015,-7.189297,0.009778,0.083966,,,,
0.4,732.122785,60.616755,-7.056716,0.009639,0.082796,,,,
0.5,733.737565,60.722285,-6.986477,0.009522,0.082757,,,,
0.6,733.480985,61.021035,-6.611397,0.009014,0.083194,,,,
0.7,733.471855,60.902335,-6.611267,0.009014,0.083033,,,,
0.8,732.946045,61.338195,-6.343797,0.008655,0.083687,,,,
0.9,732.943695,61.298715,-6.343197,0.008654,0.083634,,,,
1.0,733.708825,61.420275,-6.341437,0.008643,0.083712,,,,
1.1,733.682075,61.026575,-6.118737,0.00834,0.083179,,,,
1.2,733.668225,60.754155,-5.586107,0.007614,0.082809,,,,
1.3,733.793845,61.206785,-5.918447,0.008066,0.083411,,,,
1.4,733.360535,61.699875,-5.897317,0.008041,0.084133,,,,
1.5,733.971885,62.294755,-5.985317,0.008155,0.084873,,,,
1.6,733.527885,62.667745,-6.140757,0.008372,0.085433,,,,
1.7,733.659355,63.123215,-6.161367,0.008398,0.086039,,,,
1.8,733.380615,63.181065,-6.227777,0.008492,0.08615,,,,
1.9,733.683755,63.477435,-6.383467,0.008701,0.086519,,,,
2.0,733.610445,63.733985,-6.448647,0.00879,0.086877,,,,
2.1,732.950315,63.750795,-6.516237,0.00889,0.086978,,,,
2.2,733.599885,63.614805,-6.493527,0.008852,0.086716,,,,
2.3,733.568205,63.257265,-6.628167,0.009036,0.086232,,,,
2.4,733.654295,63.158455,-6.650397,0.009065,0.086087,,,,
2.5,733.270555,63.077935,-6.650977,0.00907,0.086023,,,,
2.6,734.230175,63.318455,-6.651797,0.00906,0.086238,,,,
2.7,733.862345,63.435855,-6.652037,0.009064,0.086441,,,,
2.8,733.284385,63.275595,-6.652307,0.009072,0.086291,,,,
2.9,733.434255,62.761395,-6.738647,0.009188,0.085572,,,,
3.0,733.403865,62.366035,-6.694317,0.009128,0.085036,,,,
3.1,733.526975,62.666125,-6.360797,0.008672,0.085431,,,,
3.2,733.268835,62.963475,-6.162417,0.008404,0.085867,,,,
3.3,733.580175,63.302165,-6.006977,0.008189,0.086292,,,,
3.4,733.315905,63.520075,-5.852407,0.007981,0.08662,,,,
3.5,733.308065,63.363555,-5.673307,0.007737,0.086408,,,,
3.6,733.546235,62.751725,-5.648517,0.0077,0.085546,,,,
3.7,732.919355,61.919485,-5.601927,0.007643,0.084483,,,,
3.8,734.216555,61.685545,-5.692137,0.007753,0.084015,,,,
3.9,733.780105,62.101075,-5.493107,0.007486,0.084632,,,,
4.0,733.662055,63.011115,-5.406087,0.007369,0.085886,,,,
4.1,733.495225,63.287475,-5.406167,0.00737,0.086282,,,,
4.2,733.403385,63.267405,-5.468817,0.007457,0.086265,,,,
4.3,733.400255,63.227225,-5.556567,0.007576,0.086211,,,,
4.4,734.945905,63.669405,-5.377677,0.007317,0.086631,,,,
4.5,731.733135,63.540925,-5.202617,0.00711,0.086836,,,,
4.6,735.075935,64.087015,-5.177647,0.007044,0.087184,,,,
4.7,733.359525,63.805555,-5.001417,0.00682,0.087004,,,,
4.8,734.117095,63.847195,-5.088477,0.006931,0.086971,,,,
4.9,733.620805,63.585765,-5.377697,0.00733,0.086674,62.531197999999996,-6.173943779999999,0.00841658,0.08524404000000001
5.0,733.684205,63.209815,-5.400737,0.007361,0.086154,62.597339999999996,-6.12392958,0.00834842,0.08533434
5.1,733.588335,63.190145,-5.335037,0.007273,0.086138,62.643211,-6.08148818,0.0082907,0.08539783999999999
5.2,733.674695,63.130555,-5.359537,0.007305,0.086047,62.6673722,-6.04660018,0.00824282,0.08542786
5.3,733.590165,63.230765,-5.160607,0.007035,0.086194,62.6973072,-6.00602638,0.00818796,0.08547242
5.4,733.223115,63.348865,-5.072497,0.006918,0.086398,62.751949399999994,-5.966342,0.00813354,0.08554445999999999
5.5,733.309985,63.250755,-5.006377,0.006827,0.086254,62.8025188,-5.926740000000001,0.00807964,0.0856144
5.6,733.920175,62.639005,-5.073167,0.006912,0.085349,62.83487819999999,-5.8959754,0.0080376,0.0856575
5.7,733.851975,61.806665,-5.207287,0.007096,0.084222,62.8529648,-5.8678958,0.00799924,0.08568128
5.8,733.610025,61.133165,-5.207997,0.007099,0.083332,62.84886420000001,-5.8451798,0.00796812,0.08567418
5.9,733.692335,60.994395,-5.274637,0.007189,0.083133,62.84277779999999,-5.8238086,0.00793882,0.08566416
6.0,734.578635,61.454085,-5.074987,0.006909,0.083659,62.843454,-5.798479599999999,0.00790414,0.08566309999999999
6.1,731.887985,61.941735,-4.787797,0.006542,0.084633,62.8617572,-5.7718608,0.00786818,0.08569217999999999
6.2,734.555525,62.307415,-4.742407,0.006456,0.084823,62.89282239999999,-5.7549868,0.007845020000000001,0.08573246
6.3,732.899395,61.647205,-4.942617,0.006744,0.084114,62.9016308,-5.7354702,0.007818579999999999,0.08574651999999999
6.4,733.441245,61.410185,-5.078057,0.006924,0.083729,62.89583699999999,-5.719085,0.007796239999999999,0.08573844
6.5,733.556945,61.706035,-5.232967,0.007134,0.084119,62.8840626,-5.704038000000001,0.00777582,0.08572336
6.6,733.683065,62.082765,-5.209037,0.0071,0.084618,62.87236299999999,-5.6854036,0.00775038,0.08570706
6.7,733.323715,62.319085,-5.166067,0.007045,0.084982,62.8562804,-5.6654976,0.0077233200000000005,0.08568591999999998
6.8,734.122875,62.837665,-5.030267,0.006852,0.085596,62.8494124,-5.6415474,0.007690519999999999,0.08567483999999999
6.9,732.135285,62.693975,-4.831627,0.006599,0.085632,62.8337432,-5.6105106000000005,0.00764848,0.08565709999999999
7.0,734.752105,62.464015,-5.008967,0.006817,0.085014,62.808343799999996,-5.581717000000001,0.007609019999999999,0.08561984
7.1,732.978995,61.583155,-5.498887,0.007502,0.084018,62.764991,-5.561369999999999,0.007581259999999999,0.08556064
7.2,733.230125,61.321705,-6.056277,0.00826,0.083632,62.719129,-5.552625000000001,0.00756942,0.08549896
7.3,733.390325,61.041805,-6.456277,0.008803,0.083232,62.674819799999995,-5.5491872,0.007564759999999999,0.08543896000000001
7.4,733.970505,61.240625,-6.588297,0.008976,0.083437,62.6364632,-5.547945199999999,0.00756298,0.08538596
7.5,733.771995,61.159445,-6.723017,0.009162,0.083349,62.598093399999996,-5.549385999999999,0.00756482,0.08533248
7.6,733.177475,60.801485,-6.680287,0.009111,0.082929,62.547754,-5.5499558,0.007565840000000001,0.0852663
7.7,733.875455,60.130625,-6.726567,0.009166,0.081936,62.48164940000001,-5.5514464,0.00756788,0.0851762
