Time,Fz,Mx,My,CoPx,CoPy,smoothMx,smoothMy,smoothCoPx,smoothCoPy
0.0,735.004985,59.692015,-9.605937,0.013069,0.081213,63.4311434,-8.3597628,0.011396680000000001,0.08647468
0.1,733.950565,58.301135,-9.916146,0.013511,0.079435,63.3511692,-8.31522898,0.01133602,0.08636576
0.2,733.836945,58.005545,-9.759566,0.013299,0.079044,63.26258980000001,-8.27330396,0.011278160000000002,0.08624122000000002
0.3,734.121685,58.026215,-9.781036,0.013323,0.079042,63.1663658,-8.23098394,0.01122058,0.08611056
0.4,734.854495,57.827835,-10.136226,0.013794,0.078693,63.062006000000004,-8.18463412,0.011156699999999999,0.08596440000000001
0.5,732.923675,57.304655,-10.360706,0.014136,0.078186,62.93704579999999,-8.1231831,0.011073140000000002,0.0857952
0.6,734.963685,58.083685,-10.293877,0.014006,0.079029,62.834949200000004,-8.0866891,0.011022780000000001,0.08565256
0.7,734.560405,57.840965,-10.738816,0.014619,0.078742,62.722515599999994,-8.08890308,0.011025740000000001,0.08549926000000001
0.8,734.436515,57.540175,-11.160686,0.015196,0.078346,62.60087180000001,-8.11733246,0.01106378,0.0853293
0.9,734.311985,57.276985,-11.804866,0.016076,0.078001,62.459362199999994,-8.18274584,0.01115294,0.08513722000000001
1.0,734.603015,56.244785,-12.379296,0.016852,0.076565,62.283691399999995,-8.276556620000001,0.01128028,0.084895
1.1,734.821635,55.433375,-12.533216,0.017056,0.075438,62.0520312,-8.3905842,0.011435119999999998,0.08457646
1.2,734.793965,55.000675,-12.264906,0.016692,0.074852,61.798642,-8.50240538,0.011586939999999999,0.08422782
1.3,732.351525,54.996815,-11.733016,0.016021,0.075096,61.5338584,-8.61803096,0.0117453,0.08387166
1.4,735.605735,55.526555,-11.285606,0.015342,0.075484,61.297649,-8.72773734,0.011893599999999999,0.08354071999999998
1.5,734.552815,56.398715,-10.663986,0.014518,0.07678,61.117090600000004,-8.82278372,0.01202298,0.08329466
1.6,734.306675,56.853105,-10.641366,0.014492,0.077424,60.9599656,-8.9146371,0.01214788,0.0830786
1.7,734.684415,56.855105,-10.552906,0.014364,0.077387,60.8140254,-9.001119280000001,0.0122652,0.08287596000000001
1.8,734.342775,57.213005,-10.240006,0.013944,0.07791,60.6878816,-9.07505806,0.01236586,0.08270399999999999
1.9,734.047335,58.280225,-10.197946,0.013893,0.079396,60.591539600000004,-9.13961624,0.012453640000000002,0.08257119999999998
2.0,734.339795,58.493875,-10.795856,0.014701,0.079655,60.491175600000005,-9.20861762,0.012547520000000001,0.08243388000000001
2.1,734.611345,59.524655,-10.662177,0.014514,0.081029,60.404143,-9.26465962,0.01262308,0.08230946000000001
2.2,732.989445,61.524945,-9.709837,0.013247,0.083937,60.3514306,-9.29900142,0.012670400000000002,0.08224132
2.3,735.449725,62.896675,-9.908597,0.013473,0.085521,60.3456866,-9.335926019999999,0.01271978,0.08222706
2.4,733.666565,61.858115,-10.352777,0.014111,0.084314,60.33218480000001,-9.37947902,0.01277914,0.0822087
2.5,734.148955,59.659325,-10.949047,0.014914,0.081263,60.2858252,-9.43044182,0.012848459999999999,0.0821448
2.6,734.575255,57.956765,-11.260696,0.01533,0.078898,60.20747059999999,-9.4835722,0.0129204,0.08203527999999999
2.7,734.069045,56.293185,-11.303996,0.015399,0.076686,60.096979000000005,-9.53711638,0.012993379999999999,0.081885
2.8,734.674535,55.602475,-11.369586,0.015476,0.075683,59.9759372,-9.59376076,0.01306978,0.08171519999999999
2.9,735.193645,56.141965,-10.947866,0.014891,0.076364,59.8724122,-9.63883294,0.01313034,0.0815692
3.0,733.205895,58.375955,-10.220946,0.01394,0.079617,59.810722,-9.67425352,0.013178699999999998,0.0814855
3.1,735.069365,58.333975,-11.199997,0.015237,0.079358,59.7290766,-9.73640692,0.01326302,0.0813725
3.2,734.097255,58.049695,-11.645336,0.015863,0.079076,59.6204352,-9.8172993,0.01337264,0.08121972
3.3,733.911665,58.164555,-12.001426,0.016353,0.079253,59.503685,-9.904484279999998,0.01349142,0.0810604
3.4,734.046555,57.528815,-12.399366,0.016892,0.078372,59.4004908,-9.98891666,0.013606120000000001,0.08091723999999999
3.5,734.136425,57.469965,-12.377186,0.01686,0.078282,59.3131306,-10.06795844,0.01371366,0.08079726000000001
3.6,734.844685,58.087055,-12.179157,0.016574,0.079047,59.2293846,-10.148373439999999,0.01382266,0.0806799
3.7,734.047475,57.567815,-12.444976,0.016954,0.078425,59.104762,-10.24441382,0.013953,0.08050594
3.8,734.455985,56.680365,-12.373426,0.016847,0.077173,58.945935399999996,-10.3386386,0.01408162,0.08029254
3.9,733.773525,57.551205,-12.020086,0.016381,0.078432,58.8074974,-10.42887818,0.0142042,0.08010044000000001
