Time,Fz,Mx,My,CoPx,CoPy,smoothMx,smoothMy,smoothCoPx,smoothCoPy
0.0,733.539695,54.866495,-9.439786,0.012869,0.074797,57.9544832,-15.554768900000001,0.021191019999999998,0.07895442
0.1,733.531705,55.879665,-8.929566,0.012173,0.076179,57.929329800000005,-15.3993327,0.020979619999999997,0.07892184
0.2,733.431785,55.780815,-8.906006,0.012143,0.076055,57.891544399999994,-15.2456185,0.02077022,0.07887094
0.3,734.217015,54.972405,-8.927236,0.012159,0.074872,57.847486599999996,-15.0892547,0.0205571,0.0788104
0.4,732.135215,54.694405,-8.259346,0.011281,0.074705,57.808147600000005,-14.9177573,0.020324199999999997,0.07876121999999999
0.5,735.475785,56.409925,-7.904926,0.010748,0.076699,57.8034836,-14.743186099999997,0.02008606,0.07875222
0.6,732.775375,55.608485,-8.037076,0.010968,0.075887,57.7879766,-14.569941100000001,0.01985022,0.07873302
0.7,733.183655,54.836155,-8.324066,0.011353,0.074792,57.7447256,-14.4037605,0.0196241,0.07867585999999999
0.8,734.497905,55.932005,-7.903846,0.010761,0.07615,57.719756600000004,-14.227853499999998,0.019385100000000002,0.07864354
0.9,734.260735,58.882775,-7.353076,0.010014,0.080193,57.75354960000001,-14.0449027,0.019135,0.07868634000000001
1.0,732.108545,59.091385,-7.552456,0.010316,0.080714,57.781118,-13.8694911,0.0188965,0.07872788
1.1,733.878685,58.799755,-7.747056,0.010556,0.080122,57.814769399999996,-13.690900899999999,0.01865326,0.07877412
1.2,733.019755,59.866775,-7.484286,0.01021,0.081671,57.8772714,-13.5084105,0.01840486,0.07886130000000001
1.3,733.854555,59.730125,-7.595716,0.01035,0.081392,57.9370056,-13.329966900000002,0.018161860000000002,0.07894326
1.4,733.653985,57.232705,-8.126426,0.011077,0.07801,57.9444514,-13.1594833,0.01792968,0.07895402000000001
1.5,732.696205,55.824815,-8.148336,0.011121,0.076191,57.9142714,-12.9974537,0.0177084,0.07891237999999999
1.6,733.853975,55.015345,-8.436176,0.011496,0.074968,57.862149200000005,-12.8447465,0.01750108,0.07884412
1.7,733.955875,55.230495,-8.684916,0.011833,0.07525,57.8166896,-12.7041471,0.01730976,0.0787831
1.8,734.748955,54.615985,-9.150896,0.012454,0.074333,57.7596554,-12.5888603,0.01715214,0.07870272
1.9,732.182775,53.141645,-9.371996,0.0128,0.07258,57.6543754,-12.4917289,0.01702054,0.07856332
2.0,734.825155,51.986615,-8.953876,0.012185,0.070747,57.5200378,-12.38490608,0.0168751,0.07838022
2.1,733.833625,51.503676,-9.446236,0.012872,0.070184,57.37056782,-12.28967366,0.01674518,0.07817597999999999
2.2,733.347025,50.268776,-10.202936,0.013913,0.068547,57.19159864,-12.21402204,0.01664226,0.07793292
2.3,733.800705,47.634746,-10.882626,0.01483,0.064915,56.97458466,-12.15154464,0.01655712,0.07763724
