Time,Fz,Mx,My,CoPx,CoPy,smoothMx,smoothMy,smoothCoPx,smoothCoPy
0.0,733.520835,67.016845,-7.038517,0.009596,0.091363,61.196062520000005,-12.71427036,0.017329320000000002,0.08340712
0.1,733.800975,64.856075,-7.472937,0.010184,0.088384,61.428724900000006,-12.62083378,0.01720206,0.08372446
0.2,734.389395,64.006185,-7.586147,0.01033,0.087156,61.604643079999995,-12.475279599999999,0.01700274,0.08395982
0.3,733.578885,63.330345,-7.589527,0.010346,0.086331,61.719554679999995,-12.36845142,0.01685704,0.08411612000000002
0.4,733.144705,61.485415,-8.012267,0.010929,0.083865,61.74904928,-12.294005420000001,0.01675596,0.08415866
0.5,735.134415,60.538335,-8.501557,0.011565,0.08235,61.78866148,-12.25242844,0.01669914,0.08421108000000001
0.6,731.940865,59.595225,-8.664686,0.011838,0.081421,61.87031508,-12.232044640000002,0.01667138,0.08432312000000002
0.7,735.633145,59.939935,-9.131717,0.012413,0.081481,62.01690588,-12.209073660000001,0.01664,0.08452161999999999
0.8,733.121655,58.085845,-9.777606,0.013337,0.079231,62.19007886,-12.17229766,0.01658998,0.08475846
0.9,733.549915,56.420005,-10.484926,0.014293,0.076914,62.369725040000006,-12.12991146,0.016531979999999998,0.08500254
1.0,734.124915,55.449975,-10.733036,0.01462,0.075532,62.50132402,-12.057357660000001,0.01643318,0.08518194
1.1,733.405055,55.961355,-10.694376,0.014582,0.076303,62.5836128,-11.98005146,0.01632686,0.08529084
1.2,732.726305,58.345705,-11.388916,0.015543,0.079628,62.6482842,-11.92756306,0.0162569,0.08538565999999999
1.3,734.373595,61.491935,-11.859127,0.016149,0.083734,62.7210344,-11.899133080000002,0.016216980000000002,0.08547946
1.4,733.267765,60.596665,-12.056407,0.016442,0.082639,62.7023178,-11.890971479999997,0.01620688,0.08545906
1.5,733.048895,58.957695,-11.592746,0.015814,0.080428,62.644174400000004,-11.878417059999999,0.01619006,0.08538138
1.6,734.241025,58.813565,-12.640927,0.017216,0.080101,62.593572800000004,-11.87354386,0.01618298,0.08531040000000001
1.7,733.602635,58.956375,-11.865147,0.016174,0.080366,62.5429684,-11.859808860000001,0.01616436,0.08524192
1.8,732.989205,57.866575,-9.597256,0.013093,0.078946,62.47139,-11.79632724,0.01607814,0.08514616
1.9,734.451885,57.164995,-8.974246,0.012219,0.077834,62.377905199999994,-11.71501562,0.01596722,0.08501792
2.0,733.282395,56.648655,-8.710076,0.011878,0.077254,62.2817134,-11.6244526,0.01584356,0.08488602
2.1,734.529465,56.835125,-8.242736,0.011222,0.077376,62.2177806,-11.51307618,0.01569146,0.08479690000000001
2.2,733.441315,57.194665,-7.441626,0.010146,0.077981,62.1562398,-11.392789360000002,0.01552746,0.08471298
2.3,733.470255,57.514785,-6.999666,0.009543,0.078415,62.0424114,-11.28129594,0.015375459999999999,0.08455782
2.4,733.072805,57.200145,-6.601576,0.009005,0.078028,61.8973656,-11.15865712,0.015208619999999999,0.08436228
2.5,734.470355,55.971965,-7.314386,0.009959,0.076207,61.7635506,-11.0299251,0.015032960000000001,0.0841783
2.6,733.710075,54.759675,-7.648466,0.010424,0.074634,61.61703320000001,-10.90571808,0.0148632,0.08397653999999999
2.7,734.340505,53.256255,-7.872206,0.01072,0.072523,61.3721818,-10.80178306,0.014721699999999999,0.08364326
2.8,734.327495,51.968265,-8.074846,0.010996,0.07077,61.0810258,-10.70805064,0.01459358,0.08324436
2.9,731.930885,51.505175,-7.969886,0.010889,0.070369,60.7999234,-10.61099342,0.01446212,0.08286612
3.0,734.439295,52.265435,-7.969716,0.010851,0.071164,60.534949399999995,-10.5120688,0.01432664,0.08250136
3.1,732.868835,53.882255,-7.927256,0.010817,0.073522,60.286371,-10.40875018,0.01418668,0.08216724000000002
3.2,734.190365,56.221975,-7.920576,0.010788,0.076577,60.0823662,-10.29633796,0.01403346,0.08188887999999998
3.3,733.821765,56.376055,-8.274816,0.011276,0.076825,59.898939,-10.19104974,0.01388936,0.08163594
3.4,734.602715,55.603585,-8.696726,0.011839,0.075692,59.71856220000001,-10.09288192,0.013755499999999999,0.08138925999999999
3.5,732.287775,53.793955,-8.812226,0.012034,0.07346,59.4818646,-9.9956239,0.013623420000000002,0.08106956
3.6,734.857715,51.996865,-9.289716,0.012642,0.070758,59.252765600000004,-9.90005968,0.013493,0.0807561
3.7,733.164935,50.119866,-10.330586,0.01409,0.068361,59.03992742,-9.82987506,0.01339736,0.08046626
3.8,733.579255,49.580396,-11.066266,0.015085,0.067587,58.815075639999996,-9.77929484,0.013328260000000001,0.08015908
3.9,733.382835,49.536856,-11.464966,0.015633,0.067546,58.56940706,-9.74468182,0.0132817,0.0798271
4.0,734.403895,50.605256,-11.863436,0.016154,0.068907,58.34958468000001,-9.721117,0.013248700000000002,0.07952342
